Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2011 Spring,2011 B,U,Female,1,Underrepresented Minority,270,239.333333333333
2011 Spring,2011 B,U,Female,2,Asian/Pacific Islander,347,289.166666666667
2011 Spring,2011 B,U,Female,3,White/Other,600,544.333333333333
2011 Spring,2011 B,U,Female,4,International,28,24.5
2011 Spring,2011 B,U,Male,1,Underrepresented Minority,185,172.5
2011 Spring,2011 B,U,Male,2,Asian/Pacific Islander,173,151.833333333333
2011 Spring,2011 B,U,Male,3,White/Other,443,413.5
2011 Spring,2011 B,U,Male,4,International,20,19
2011 Fall,2011 D,U,Female,1,Underrepresented Minority,232,203.333333333333
2011 Fall,2011 D,U,Female,2,Asian/Pacific Islander,294,245.666666666667
2011 Fall,2011 D,U,Female,3,White/Other,538,485.666666666667
2011 Fall,2011 D,U,Female,4,International,35,29.6666666666667
2011 Fall,2011 D,U,Male,1,Underrepresented Minority,171,161
2011 Fall,2011 D,U,Male,2,Asian/Pacific Islander,144,125.166666666667
2011 Fall,2011 D,U,Male,3,White/Other,367,337
2011 Fall,2011 D,U,Male,4,International,15,13
2012 Spring,2012 B,U,Female,1,Underrepresented Minority,282,249.833333333333
2012 Spring,2012 B,U,Female,2,Asian/Pacific Islander,344,290.333333333333
2012 Spring,2012 B,U,Female,3,White/Other,576,518.5
2012 Spring,2012 B,U,Female,4,International,47,41.5
2012 Spring,2012 B,U,Male,1,Underrepresented Minority,181,169.5
2012 Spring,2012 B,U,Male,2,Asian/Pacific Islander,149,132.5
2012 Spring,2012 B,U,Male,3,White/Other,409,375.666666666667
2012 Spring,2012 B,U,Male,4,International,20,19
2012 Fall,2012 D,U,Female,1,Underrepresented Minority,249,214.333333333333
2012 Fall,2012 D,U,Female,2,Asian/Pacific Islander,288,245
2012 Fall,2012 D,U,Female,3,White/Other,486,440.666666666667
2012 Fall,2012 D,U,Female,4,International,52,46.3333333333333
2012 Fall,2012 D,U,Male,1,Underrepresented Minority,173,162.5
2012 Fall,2012 D,U,Male,2,Asian/Pacific Islander,121,107.666666666667
2012 Fall,2012 D,U,Male,3,White/Other,343,316.5
2012 Fall,2012 D,U,Male,4,International,19,18.5
2013 Spring,2013 B,U,Female,1,Underrepresented Minority,289,257.333333333333
2013 Spring,2013 B,U,Female,2,Asian/Pacific Islander,335,288
2013 Spring,2013 B,U,Female,3,White/Other,531,478.166666666667
2013 Spring,2013 B,U,Female,4,International,53,47.3333333333333
2013 Spring,2013 B,U,Male,1,Underrepresented Minority,181,169
2013 Spring,2013 B,U,Male,2,Asian/Pacific Islander,137,121.666666666667
2013 Spring,2013 B,U,Male,3,White/Other,371,343.166666666667
2013 Spring,2013 B,U,Male,4,International,24,23.5
2013 Fall,2013 D,U,Female,1,Underrepresented Minority,237,209
2013 Fall,2013 D,U,Female,2,Asian/Pacific Islander,254,226.5
2013 Fall,2013 D,U,Female,3,White/Other,439,389
2013 Fall,2013 D,U,Female,4,International,54,49.8333333333333
2013 Fall,2013 D,U,Male,1,Underrepresented Minority,167,152
2013 Fall,2013 D,U,Male,2,Asian/Pacific Islander,113,97.6666666666667
2013 Fall,2013 D,U,Male,3,White/Other,292,268.833333333333
2013 Fall,2013 D,U,Male,4,International,26,23.8333333333333
2014 Spring,2014 B,U,Female,1,Underrepresented Minority,253,227
2014 Spring,2014 B,U,Female,2,Asian/Pacific Islander,281,249.333333333333
2014 Spring,2014 B,U,Female,3,White/Other,478,426.166666666667
2014 Spring,2014 B,U,Female,4,International,68,62.1666666666667
2014 Spring,2014 B,U,Male,1,Underrepresented Minority,181,164.5
2014 Spring,2014 B,U,Male,2,Asian/Pacific Islander,122,104
2014 Spring,2014 B,U,Male,3,White/Other,316,292.166666666667
2014 Spring,2014 B,U,Male,4,International,37,33.8333333333333
2014 Fall,2014 D,U,Female,1,Underrepresented Minority,207,186.833333333333
2014 Fall,2014 D,U,Female,2,Asian/Pacific Islander,235,207.333333333333
2014 Fall,2014 D,U,Female,3,White/Other,380,334
2014 Fall,2014 D,U,Female,4,International,54,48.8333333333333
2014 Fall,2014 D,U,Male,1,Underrepresented Minority,142,130.5
2014 Fall,2014 D,U,Male,2,Asian/Pacific Islander,107,89
2014 Fall,2014 D,U,Male,3,White/Other,254,233.833333333333
2014 Fall,2014 D,U,Male,4,International,46,40.3333333333333
2015 Spring,2015 B,U,Female,1,Underrepresented Minority,244,216.833333333333
2015 Spring,2015 B,U,Female,2,Asian/Pacific Islander,272,240.166666666667
2015 Spring,2015 B,U,Female,3,White/Other,417,370.166666666667
2015 Spring,2015 B,U,Female,4,International,62,55.1666666666667
2015 Spring,2015 B,U,Male,1,Underrepresented Minority,149,138.5
2015 Spring,2015 B,U,Male,2,Asian/Pacific Islander,126,107.666666666667
2015 Spring,2015 B,U,Male,3,White/Other,266,248.666666666667
2015 Spring,2015 B,U,Male,4,International,47,41.3333333333333
