Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2008 Fall,2008 D,U,Female,3,White/Other,904,836.166666666667
2008 Fall,2008 D,U,Female,4,International,35,30
2008 Fall,2008 D,U,Male,1,Underrepresented Minority,281,266
2008 Fall,2008 D,U,Male,2,Asian/Pacific Islander,491,423.666666666667
2008 Fall,2008 D,U,Male,3,White/Other,667,620
2008 Fall,2008 D,U,Male,4,International,35,33.5
2009 Spring,2009 B,U,Female,1,Underrepresented Minority,544,505
2009 Spring,2009 B,U,Female,2,Asian/Pacific Islander,861,754.666666666667
2009 Spring,2009 B,U,Female,3,White/Other,944,870
2009 Spring,2009 B,U,Female,4,International,42,36
2009 Spring,2009 B,U,Male,1,Underrepresented Minority,305,286.5
2009 Spring,2009 B,U,Male,2,Asian/Pacific Islander,549,474.333333333333
2009 Spring,2009 B,U,Male,3,White/Other,692,648.333333333333
2009 Spring,2009 B,U,Male,4,International,46,42.5
2009 Fall,2009 D,U,Female,1,Underrepresented Minority,504,463
2009 Fall,2009 D,U,Female,2,Asian/Pacific Islander,752,656.666666666667
2009 Fall,2009 D,U,Female,3,White/Other,836,777.5
2009 Fall,2009 D,U,Female,4,International,49,43.6666666666667
2009 Fall,2009 D,U,Male,1,Underrepresented Minority,291,272.5
2009 Fall,2009 D,U,Male,2,Asian/Pacific Islander,510,447
2009 Fall,2009 D,U,Male,3,White/Other,656,614.333333333333
2009 Fall,2009 D,U,Male,4,International,50,43.5
2010 Spring,2010 B,U,Female,1,Underrepresented Minority,532,485.5
2010 Spring,2010 B,U,Female,2,Asian/Pacific Islander,833,720.5
2010 Spring,2010 B,U,Female,3,White/Other,905,834.333333333333
2010 Spring,2010 B,U,Female,4,International,78,70.1666666666667
2010 Spring,2010 B,U,Male,1,Underrepresented Minority,319,296
2010 Spring,2010 B,U,Male,2,Asian/Pacific Islander,537,471
2010 Spring,2010 B,U,Male,3,White/Other,714,669.333333333333
2010 Spring,2010 B,U,Male,4,International,77,69.5
2010 Fall,2010 D,U,Female,1,Underrepresented Minority,465,432
2010 Fall,2010 D,U,Female,2,Asian/Pacific Islander,757,653
2010 Fall,2010 D,U,Female,3,White/Other,831,765.833333333333
2010 Fall,2010 D,U,Female,4,International,101,88.6666666666667
2010 Fall,2010 D,U,Male,1,Underrepresented Minority,291,274
2010 Fall,2010 D,U,Male,2,Asian/Pacific Islander,519,453.833333333333
2010 Fall,2010 D,U,Male,3,White/Other,653,612.5
2010 Fall,2010 D,U,Male,4,International,92,78.8333333333333
2011 Spring,2011 B,U,Female,1,Underrepresented Minority,549,506.166666666667
2011 Spring,2011 B,U,Female,2,Asian/Pacific Islander,844,727.5
2011 Spring,2011 B,U,Female,3,White/Other,932,857.833333333333
2011 Spring,2011 B,U,Female,4,International,132,112.5
2011 Spring,2011 B,U,Male,1,Underrepresented Minority,317,296
2011 Spring,2011 B,U,Male,2,Asian/Pacific Islander,575,501.666666666667
2011 Spring,2011 B,U,Male,3,White/Other,734,690
2011 Spring,2011 B,U,Male,4,International,119,101.833333333333
2011 Fall,2011 D,U,Female,1,Underrepresented Minority,527,494.166666666667
2011 Fall,2011 D,U,Female,2,Asian/Pacific Islander,728,636
2011 Fall,2011 D,U,Female,3,White/Other,869,803.333333333333
2011 Fall,2011 D,U,Female,4,International,156,133.333333333333
2011 Fall,2011 D,U,Male,1,Underrepresented Minority,331,310
2011 Fall,2011 D,U,Male,2,Asian/Pacific Islander,491,436.833333333333
2011 Fall,2011 D,U,Male,3,White/Other,636,598.833333333333
2011 Fall,2011 D,U,Male,4,International,125,110
2012 Spring,2012 B,U,Female,1,Underrepresented Minority,556,520.166666666667
2012 Spring,2012 B,U,Female,2,Asian/Pacific Islander,801,696.333333333333
2012 Spring,2012 B,U,Female,3,White/Other,935,859.333333333333
2012 Spring,2012 B,U,Female,4,International,182,155.833333333333
2012 Spring,2012 B,U,Male,1,Underrepresented Minority,359,337
2012 Spring,2012 B,U,Male,2,Asian/Pacific Islander,522,467.666666666667
2012 Spring,2012 B,U,Male,3,White/Other,695,647
2012 Spring,2012 B,U,Male,4,International,168,150.5
2012 Fall,2012 D,U,Female,1,Underrepresented Minority,521,484.666666666667
2012 Fall,2012 D,U,Female,2,Asian/Pacific Islander,706,606.5
2012 Fall,2012 D,U,Female,3,White/Other,842,776.833333333333
2012 Fall,2012 D,U,Female,4,International,196,167.833333333333
2012 Fall,2012 D,U,Male,1,Underrepresented Minority,321,304.5
2012 Fall,2012 D,U,Male,2,Asian/Pacific Islander,424,379.5
2012 Fall,2012 D,U,Male,3,White/Other,572,524.833333333333
2012 Fall,2012 D,U,Male,4,International,175,155.5
2013 Spring,2013 B,U,Female,1,Underrepresented Minority,587,542.166666666667
2013 Spring,2013 B,U,Female,2,Asian/Pacific Islander,807,695.666666666667
2013 Spring,2013 B,U,Female,3,White/Other,910,833.5
2013 Spring,2013 B,U,Female,4,International,251,216.833333333333
2013 Spring,2013 B,U,Male,1,Underrepresented Minority,348,327
2013 Spring,2013 B,U,Male,2,Asian/Pacific Islander,463,411.666666666667
2013 Spring,2013 B,U,Male,3,White/Other,604,552.333333333333
2013 Spring,2013 B,U,Male,4,International,217,195.166666666667
2013 Fall,2013 D,U,Female,1,Underrepresented Minority,535,492.833333333333
2013 Fall,2013 D,U,Female,2,Asian/Pacific Islander,649,565.5
2013 Fall,2013 D,U,Female,3,White/Other,728,661.5
2013 Fall,2013 D,U,Female,4,International,279,245.666666666667
2013 Fall,2013 D,U,Male,1,Underrepresented Minority,329,308
2013 Fall,2013 D,U,Male,2,Asian/Pacific Islander,409,364
2013 Fall,2013 D,U,Male,3,White/Other,532,482.666666666667
2013 Fall,2013 D,U,Male,4,International,205,176.5
2014 Spring,2014 B,U,Female,1,Underrepresented Minority,566,523.833333333333
2014 Spring,2014 B,U,Female,2,Asian/Pacific Islander,738,649.166666666667
2014 Spring,2014 B,U,Female,3,White/Other,774,702
2014 Spring,2014 B,U,Female,4,International,330,291.333333333333
2014 Spring,2014 B,U,Male,1,Underrepresented Minority,342,317.5
2014 Spring,2014 B,U,Male,2,Asian/Pacific Islander,472,419
2014 Spring,2014 B,U,Male,3,White/Other,568,519.666666666667
2014 Spring,2014 B,U,Male,4,International,262,226.5
2014 Fall,2014 D,U,Female,1,Underrepresented Minority,518,481.5
2014 Fall,2014 D,U,Female,2,Asian/Pacific Islander,652,584
2014 Fall,2014 D,U,Female,3,White/Other,666,609.333333333333
2014 Fall,2014 D,U,Female,4,International,289,248.5
2014 Fall,2014 D,U,Male,1,Underrepresented Minority,325,306
2014 Fall,2014 D,U,Male,2,Asian/Pacific Islander,446,401
2014 Fall,2014 D,U,Male,3,White/Other,494,460.5
2014 Fall,2014 D,U,Male,4,International,227,195.833333333333
2015 Spring,2015 B,U,Female,1,Underrepresented Minority,556,510
2015 Spring,2015 B,U,Female,2,Asian/Pacific Islander,724,646.5
2015 Spring,2015 B,U,Female,3,White/Other,694,635.5
2015 Spring,2015 B,U,Female,4,International,352,307
2015 Spring,2015 B,U,Male,1,Underrepresented Minority,358,338.5
2015 Spring,2015 B,U,Male,2,Asian/Pacific Islander,471,422
2015 Spring,2015 B,U,Male,3,White/Other,522,491.833333333333
2015 Spring,2015 B,U,Male,4,International,260,228.666666666667
