Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2010 Fall,2010 D,U,Female,1,Underrepresented Minority,7,6.5
2010 Fall,2010 D,U,Female,2,Asian/Pacific Islander,40,30.6666666666667
2010 Fall,2010 D,U,Female,3,White/Other,29,24
2010 Fall,2010 D,U,Female,4,International,14,10.5
2010 Fall,2010 D,U,Male,1,Underrepresented Minority,21,19
2010 Fall,2010 D,U,Male,2,Asian/Pacific Islander,103,80
2010 Fall,2010 D,U,Male,3,White/Other,116,88.6666666666667
2010 Fall,2010 D,U,Male,4,International,33,25.3333333333333
2011 Spring,2011 B,U,Female,1,Underrepresented Minority,7,6.5
2011 Spring,2011 B,U,Female,2,Asian/Pacific Islander,42,33.6666666666667
2011 Spring,2011 B,U,Female,3,White/Other,31,26
2011 Spring,2011 B,U,Female,4,International,22,15.3333333333333
2011 Spring,2011 B,U,Male,1,Underrepresented Minority,25,23
2011 Spring,2011 B,U,Male,2,Asian/Pacific Islander,98,76
2011 Spring,2011 B,U,Male,3,White/Other,115,90.3333333333333
2011 Spring,2011 B,U,Male,4,International,44,31.8333333333333
2011 Fall,2011 D,U,Female,1,Underrepresented Minority,5,4.5
2011 Fall,2011 D,U,Female,2,Asian/Pacific Islander,39,28.3333333333333
2011 Fall,2011 D,U,Female,3,White/Other,34,29
2011 Fall,2011 D,U,Female,4,International,24,17.3333333333333
2011 Fall,2011 D,U,Male,1,Underrepresented Minority,28,25.5
2011 Fall,2011 D,U,Male,2,Asian/Pacific Islander,103,81.5
2011 Fall,2011 D,U,Male,3,White/Other,107,83.6666666666667
2011 Fall,2011 D,U,Male,4,International,42,30.5
2012 Spring,2012 B,U,Female,1,Underrepresented Minority,5,4.5
2012 Spring,2012 B,U,Female,2,Asian/Pacific Islander,40,30.8333333333333
2012 Spring,2012 B,U,Female,3,White/Other,41,36
2012 Spring,2012 B,U,Female,4,International,38,30.3333333333333
2012 Spring,2012 B,U,Male,1,Underrepresented Minority,33,30
2012 Spring,2012 B,U,Male,2,Asian/Pacific Islander,101,80.3333333333333
2012 Spring,2012 B,U,Male,3,White/Other,111,86.6666666666667
2012 Spring,2012 B,U,Male,4,International,60,46
2012 Fall,2012 D,U,Female,1,Underrepresented Minority,9,8
2012 Fall,2012 D,U,Female,2,Asian/Pacific Islander,39,28.8333333333333
2012 Fall,2012 D,U,Female,3,White/Other,39,33
2012 Fall,2012 D,U,Female,4,International,36,24.3333333333333
2012 Fall,2012 D,U,Male,1,Underrepresented Minority,33,30
2012 Fall,2012 D,U,Male,2,Asian/Pacific Islander,101,80.1666666666667
2012 Fall,2012 D,U,Male,3,White/Other,115,93.5
2012 Fall,2012 D,U,Male,4,International,65,48
2013 Spring,2013 B,U,Female,1,Underrepresented Minority,12,11
2013 Spring,2013 B,U,Female,2,Asian/Pacific Islander,55,44
2013 Spring,2013 B,U,Female,3,White/Other,40,34.5
2013 Spring,2013 B,U,Female,4,International,47,29.6666666666667
2013 Spring,2013 B,U,Male,1,Underrepresented Minority,44,37.5
2013 Spring,2013 B,U,Male,2,Asian/Pacific Islander,122,98.1666666666667
2013 Spring,2013 B,U,Male,3,White/Other,124,99.3333333333333
2013 Spring,2013 B,U,Male,4,International,79,58.6666666666667
2013 Fall,2013 D,U,Female,1,Underrepresented Minority,13,11.5
2013 Fall,2013 D,U,Female,2,Asian/Pacific Islander,52,41.5
2013 Fall,2013 D,U,Female,3,White/Other,36,31
2013 Fall,2013 D,U,Female,4,International,43,29.1666666666667
2013 Fall,2013 D,U,Male,1,Underrepresented Minority,39,32
2013 Fall,2013 D,U,Male,2,Asian/Pacific Islander,109,85.8333333333333
2013 Fall,2013 D,U,Male,3,White/Other,110,85.3333333333333
2013 Fall,2013 D,U,Male,4,International,88,63.3333333333333
2014 Spring,2014 B,U,Female,1,Underrepresented Minority,18,16
2014 Spring,2014 B,U,Female,2,Asian/Pacific Islander,56,46.5
2014 Spring,2014 B,U,Female,3,White/Other,36,33
2014 Spring,2014 B,U,Female,4,International,50,31.6666666666667
2014 Spring,2014 B,U,Male,1,Underrepresented Minority,32,27
2014 Spring,2014 B,U,Male,2,Asian/Pacific Islander,125,100
2014 Spring,2014 B,U,Male,3,White/Other,117,91.6666666666667
2014 Spring,2014 B,U,Male,4,International,100,69.8333333333333
2014 Fall,2014 D,U,Female,1,Underrepresented Minority,21,18.3333333333333
2014 Fall,2014 D,U,Female,2,Asian/Pacific Islander,56,46.6666666666667
2014 Fall,2014 D,U,Female,3,White/Other,37,33.8333333333333
2014 Fall,2014 D,U,Female,4,International,40,25.3333333333333
2014 Fall,2014 D,U,Male,1,Underrepresented Minority,32,27.5
2014 Fall,2014 D,U,Male,2,Asian/Pacific Islander,122,94.8333333333333
2014 Fall,2014 D,U,Male,3,White/Other,105,80.6666666666667
2014 Fall,2014 D,U,Male,4,International,99,66.8333333333333
2015 Spring,2015 B,U,Female,1,Underrepresented Minority,25,20.8333333333333
2015 Spring,2015 B,U,Female,2,Asian/Pacific Islander,68,57.6666666666667
2015 Spring,2015 B,U,Female,3,White/Other,43,37
2015 Spring,2015 B,U,Female,4,International,54,37.6666666666667
2015 Spring,2015 B,U,Male,1,Underrepresented Minority,33,28
2015 Spring,2015 B,U,Male,2,Asian/Pacific Islander,136,102.166666666667
2015 Spring,2015 B,U,Male,3,White/Other,102,81.8333333333333
2015 Spring,2015 B,U,Male,4,International,106,73.6666666666667
